YEAR,MONTH,DAY,HOUR,Clear Sky Surface Shortwave Downward Irradiance,All Sky Surface Shortwave Downward Irradiance,Temperature at 2 Meters (C),Wind Speed at 10 Meters (m/s), Relative Humidity at 2 Meters (%)
2014,1,1,0,0,0,22.36,3.72,85.79
2014,1,1,1,0,0,22.47,3.61,84.42
2014,1,1,2,0,0,22.53,3.57,83.4
2014,1,1,3,0,0,22.42,3.59,83.27
2014,1,1,4,0,0,22.37,3.68,83.02
2014,1,1,5,0,0,22.38,3.78,82.79
2014,1,1,6,52.9,47.75,23.1,3.98,80.39
2014,1,1,7,260.85,207.27,25.08,5.21,69.64
2014,1,1,8,476.17,380.45,26.61,5.98,60.89
2014,1,1,9,655.08,524.53,27.66,6.26,56.9
2014,1,1,10,775.92,588.92,28.45,6.43,54.79
2014,1,1,11,806.4,580.6,28.84,6.66,53.79
2014,1,1,12,781.97,567.97,28.8,6.83,54.22
2014,1,1,13,685.35,429.85,28.57,6.95,55.3
2014,1,1,14,527.6,304.95,27.96,7.01,57.53
2014,1,1,15,325.15,192.48,27.13,7,60.75
2014,1,1,16,113.5,73.1,25.97,6.55,66.03
2014,1,1,17,3.55,2.92,24.57,5.33,74.08
2014,1,1,18,0,0,23.85,4.95,78.76
2014,1,1,19,0,0,23.3,4.56,81.94
2014,1,1,20,0,0,22.9,4.31,83.76
2014,1,1,21,0,0,22.57,4.1,85.1
2014,1,1,22,0,0,22.3,4.04,86.31
2014,1,1,23,0,0,22.06,4.08,87.07
2014,1,2,0,0,0,21.88,4.12,87.79
2014,1,2,1,0,0,21.68,4.23,88.44
2014,1,2,2,0,0,21.54,4.22,88.49
2014,1,2,3,0,0,21.4,4.16,88.13
2014,1,2,4,0,0,21.34,4.12,87.3
2014,1,2,5,0,0,21.32,4.08,86.35
2014,1,2,6,47.28,44.53,22.24,4.27,82.37
2014,1,2,7,245.18,214.48,24.35,5.44,71.58
2014,1,2,8,457.9,412.85,25.89,5.91,62.7
2014,1,2,9,636.05,554.7,26.98,5.96,57.84
2014,1,2,10,756.28,662.53,27.77,6,54.98
2014,1,2,11,759.78,694.6,28.26,6.07,53.46
2014,1,2,12,737.38,659.22,28.5,6.19,52.81
2014,1,2,13,643.25,528.7,28.43,6.35,53.11
2014,1,2,14,487.42,408.45,28.02,6.58,54.56
2014,1,2,15,292.12,225.35,27.21,6.66,57.53
2014,1,2,16,97.93,76.28,26,6.29,62.86
2014,1,2,17,3.38,3.08,24.59,5.35,71.04
2014,1,2,18,0,0,23.84,5.24,75.72
2014,1,2,19,0,0,23.47,5.36,77.58
2014,1,2,20,0,0,23.14,5.31,79.16
2014,1,2,21,0,0,22.84,5.09,80.94
2014,1,2,22,0,0,22.55,4.75,82.97
2014,1,2,23,0,0,22.42,4.56,84.18
2014,1,3,0,0,0,22.39,4.46,84.81
2014,1,3,1,0,0,22.35,4.43,85.26
2014,1,3,2,0,0,22.35,4.48,85.45
2014,1,3,3,0,0,22.36,4.4,85.71
2014,1,3,4,0,0,22.38,4.28,86.01
2014,1,3,5,0,0,22.39,4.17,86.49
2014,1,3,6,43.97,35.17,22.94,4.45,84.64
2014,1,3,7,236.7,168.95,24.38,5.39,77.64
2014,1,3,8,448.95,345.15,25.77,6.14,70.84
2014,1,3,9,627.88,524.42,27.06,6.49,64.84
2014,1,3,10,750.45,627,28.04,6.6,60.68
2014,1,3,11,770.6,681.75,28.64,6.71,58.36
2014,1,3,12,753.28,639.47,28.83,6.82,57.57
2014,1,3,13,664.05,584.72,28.67,6.87,57.76
2014,1,3,14,512.2,434.77,28.21,6.88,58.97
2014,1,3,15,315.88,251.65,27.42,6.75,61.38
2014,1,3,16,111.03,82.9,26.29,6.24,65.73
2014,1,3,17,3.83,3.47,24.72,4.84,74.3
2014,1,3,18,0,0,23.98,4.46,78.81
2014,1,3,19,0,0,23.49,4.24,81.01
2014,1,3,20,0,0,23.09,4.03,82.55
2014,1,3,21,0,0,22.82,3.89,83.15
2014,1,3,22,0,0,22.56,3.83,83.68
2014,1,3,23,0,0,22.41,3.9,83.76
2014,1,4,0,0,0,22.31,3.91,83.62
2014,1,4,1,0,0,22.26,3.86,83.45
2014,1,4,2,0,0,22.15,3.85,83.25
