YEAR,MONTH,DAY,HOUR,timestamp,clear_sky_irradiance,direct_radiation,temperature_2m,wind_speed_10m,relative_humidity_2m,cloud_cover,solar_power_kw
2025,1,1,0,2025-01-01 00:00:00,0.0,0.0,9.65,3.72,70.2,19.36,0.0
2025,1,1,1,2025-01-01 01:00:00,0.0,0.0,9.37,3.44,71.82,31.03,0.0
2025,1,1,2,2025-01-01 02:00:00,0.0,0.0,7.15,4.75,73.65,16.9,0.0
2025,1,1,3,2025-01-01 03:00:00,0.0,0.0,8.34,5.52,66.76,11.13,0.0
2025,1,1,4,2025-01-01 04:00:00,0.0,0.0,11.29,4.64,71.98,13.24,0.0
2025,1,1,5,2025-01-01 05:00:00,0.0,0.0,9.26,4.18,69.32,12.22,0.0
2025,1,1,6,2025-01-01 06:00:00,0.0,0.0,10.11,4.52,69.23,10.52,0.0
2025,1,1,7,2025-01-01 07:00:00,89.08,69.41,11.74,3.6,62.12,29.44,35.77
2025,1,1,8,2025-01-01 08:00:00,303.87,212.29,12.95,3.73,69.2,40.18,101.27
2025,1,1,9,2025-01-01 09:00:00,488.32,430.65,13.7,4.62,68.17,15.75,209.88
2025,1,1,10,2025-01-01 10:00:00,629.85,577.03,15.83,4.82,66.11,11.18,289.77
2025,1,1,11,2025-01-01 11:00:00,718.82,671.15,15.9,4.08,61.07,8.84,337.3
2025,1,1,12,2025-01-01 12:00:00,749.16,648.98,17.46,4.44,59.53,17.83,317.75
2025,1,1,13,2025-01-01 13:00:00,718.82,564.83,18.34,3.48,62.81,28.56,276.08
2025,1,1,14,2025-01-01 14:00:00,629.85,474.54,20.1,5.6,60.22,32.88,229.03
2025,1,1,15,2025-01-01 15:00:00,488.32,410.63,19.14,2.72,58.1,21.21,194.76
2025,1,1,16,2025-01-01 16:00:00,303.87,217.24,18.47,1.83,54.72,38.01,109.6
2025,1,1,17,2025-01-01 17:00:00,89.08,83.11,17.75,3.07,58.3,8.94,42.2
2025,1,1,18,2025-01-01 18:00:00,0.0,0.0,18.7,2.05,61.28,34.38,0.0
2025,1,1,19,2025-01-01 19:00:00,0.0,0.0,16.26,2.58,57.61,10.1,0.0
2025,1,1,20,2025-01-01 20:00:00,0.0,0.0,13.24,2.14,64.48,6.49,0.0
2025,1,1,21,2025-01-01 21:00:00,0.0,0.0,13.94,4.16,66.21,18.07,0.0
2025,1,1,22,2025-01-01 22:00:00,0.0,0.0,12.76,2.04,61.53,18.98,0.0
2025,1,1,23,2025-01-01 23:00:00,0.0,0.0,11.62,3.04,75.39,7.54,0.0
2025,1,2,0,2025-01-02 00:00:00,0.0,0.0,10.79,4.11,69.22,12.57,0.0
2025,1,2,1,2025-01-02 01:00:00,0.0,0.0,10.36,4.93,67.47,34.15,0.0
2025,1,2,2,2025-01-02 02:00:00,0.0,0.0,8.52,3.71,71.03,29.67,0.0
2025,1,2,3,2025-01-02 03:00:00,0.0,0.0,9.13,3.11,69.49,14.02,0.0
2025,1,2,4,2025-01-02 04:00:00,0.0,0.0,9.65,5.04,68.05,30.08,0.0
2025,1,2,5,2025-01-02 05:00:00,0.0,0.0,9.1,5.31,69.23,12.31,0.0
2025,1,2,6,2025-01-02 06:00:00,0.0,0.0,11.61,4.44,76.86,36.1,0.0
2025,1,2,7,2025-01-02 07:00:00,89.69,63.52,11.76,3.67,70.35,38.9,27.48
2025,1,2,8,2025-01-02 08:00:00,304.61,229.44,13.25,4.72,70.2,32.9,118.27
2025,1,2,9,2025-01-02 09:00:00,489.16,460.48,14.29,5.84,62.86,7.82,232.16
2025,1,2,10,2025-01-02 10:00:00,630.77,487.36,15.94,3.5,60.58,30.31,238.46
2025,1,2,11,2025-01-02 11:00:00,719.8,538.28,17.32,4.47,63.24,33.62,272.95
2025,1,2,12,2025-01-02 12:00:00,750.16,689.54,16.49,4.2,58.44,10.77,341.4
2025,1,2,13,2025-01-02 13:00:00,719.8,560.08,18.39,2.98,64.16,29.59,285.46
2025,1,2,14,2025-01-02 14:00:00,630.77,562.98,18.11,2.93,62.14,14.33,277.2
2025,1,2,15,2025-01-02 15:00:00,489.16,438.92,18.88,3.03,61.14,13.69,215.59
2025,1,2,16,2025-01-02 16:00:00,304.61,210.43,18.52,3.3,61.54,41.22,102.43
2025,1,2,17,2025-01-02 17:00:00,89.69,77.19,18.56,2.48,56.07,18.59,39.35
2025,1,2,18,2025-01-02 18:00:00,0.0,0.0,17.77,3.15,58.33,27.45,0.0
2025,1,2,19,2025-01-02 19:00:00,0.0,0.0,17.42,1.24,65.16,33.42,0.0
2025,1,2,20,2025-01-02 20:00:00,0.0,0.0,15.59,2.48,64.22,35.82,0.0
2025,1,2,21,2025-01-02 21:00:00,0.0,0.0,14.51,3.41,68.41,25.05,0.0
2025,1,2,22,2025-01-02 22:00:00,0.0,0.0,11.84,3.03,62.05,38.65,0.0
2025,1,2,23,2025-01-02 23:00:00,0.0,0.0,13.41,3.74,62.4,8.75,0.0
2025,1,3,0,2025-01-03 00:00:00,0.0,0.0,9.79,4.75,68.24,9.8,0.0
2025,1,3,1,2025-01-03 01:00:00,0.0,0.0,9.12,3.85,70.85,16.29,0.0
2025,1,3,2,2025-01-03 02:00:00,0.0,0.0,10.3,4.11,73.28,27.66,0.0
2025,1,3,3,2025-01-03 03:00:00,0.0,0.0,8.51,3.71,73.56,20.04,0.0
2025,1,3,4,2025-01-03 04:00:00,0.0,0.0,8.59,4.27,75.78,9.62,0.0
2025,1,3,5,2025-01-03 05:00:00,0.0,0.0,11.12,3.65,71.41,17.49,0.0
2025,1,3,6,2025-01-03 06:00:00,0.0,0.0,10.81,3.64,74.2,42.16,0.0
2025,1,3,7,2025-01-03 07:00:00,90.35,78.55,12.55,5.01,65.88,17.41,42.29
2025,1,3,8,2025-01-03 08:00:00,305.4,247.38,12.73,3.5,63.76,25.33,124.2
2025,1,3,9,2025-01-03 09:00:00,490.07,402.15,15.35,4.0,60.71,23.92,200.94
2025,1,3,10,2025-01-03 10:00:00,631.77,528.25,15.38,4.42,70.49,21.85,266.5
2025,1,3,11,2025-01-03 11:00:00,720.85,642.79,16.7,3.87,60.2,14.44,317.43
2025,1,3,12,2025-01-03 12:00:00,751.23,516.6,16.06,3.01,64.6,41.64,264.23
2025,1,3,13,2025-01-03 13:00:00,720.85,570.37,18.25,3.41,61.57,27.83,278.99
2025,1,3,14,2025-01-03 14:00:00,631.77,578.57,19.58,2.4,57.81,11.23,282.49
2025,1,3,15,2025-01-03 15:00:00,490.07,368.33,19.76,3.3,59.92,33.12,182.71
2025,1,3,16,2025-01-03 16:00:00,305.4,262.78,19.31,1.03,57.07,18.61,124.73
2025,1,3,17,2025-01-03 17:00:00,90.35,66.01,18.81,2.17,59.2,35.91,36.32
2025,1,3,18,2025-01-03 18:00:00,0.0,0.0,17.25,2.31,61.54,35.02,0.0
2025,1,3,19,2025-01-03 19:00:00,0.0,0.0,17.08,2.6,61.07,37.66,0.0
2025,1,3,20,2025-01-03 20:00:00,0.0,0.0,16.86,1.03,66.64,42.01,0.0
2025,1,3,21,2025-01-03 21:00:00,0.0,0.0,14.97,3.15,67.37,20.24,0.0
2025,1,3,22,2025-01-03 22:00:00,0.0,0.0,12.19,1.23,66.53,11.93,0.0
2025,1,3,23,2025-01-03 23:00:00,0.0,0.0,10.88,3.52,67.04,39.81,0.0
2025,1,4,0,2025-01-04 00:00:00,0.0,0.0,10.14,3.95,69.85,31.6,0.0
2025,1,4,1,2025-01-04 01:00:00,0.0,0.0,8.54,3.24,65.97,12.81,0.0
2025,1,4,2,2025-01-04 02:00:00,0.0,0.0,7.57,3.86,75.51,37.17,0.0
2025,1,4,3,2025-01-04 03:00:00,0.0,0.0,9.28,4.76,68.52,26.37,0.0
2025,1,4,4,2025-01-04 04:00:00,0.0,0.0,8.04,4.26,68.26,43.64,0.0
2025,1,4,5,2025-01-04 05:00:00,0.0,0.0,9.88,4.74,70.23,43.68,0.0
2025,1,4,6,2025-01-04 06:00:00,0.0,0.0,12.31,4.35,70.46,43.89,0.0
2025,1,4,7,2025-01-04 07:00:00,91.06,69.25,12.22,6.41,68.55,31.93,32.11
2025,1,4,8,2025-01-04 08:00:00,306.25,261.06,12.61,5.37,62.49,19.68,125.18
2025,1,4,9,2025-01-04 09:00:00,491.04,444.32,14.3,5.11,70.63,12.69,220.38
2025,1,4,10,2025-01-04 10:00:00,632.84,471.78,15.91,4.66,67.88,33.93,234.22
2025,1,4,11,2025-01-04 11:00:00,721.97,503.87,17.47,2.44,60.59,40.28,253.88
2025,1,4,12,2025-01-04 12:00:00,752.37,504.58,17.78,1.54,61.59,43.91,246.03
2025,1,4,13,2025-01-04 13:00:00,721.97,616.19,18.36,2.83,59.94,19.54,305.81
2025,1,4,14,2025-01-04 14:00:00,632.84,510.69,17.76,3.75,60.81,25.74,257.62
2025,1,4,15,2025-01-04 15:00:00,491.04,408.17,19.29,3.89,56.75,22.5,200.8
2025,1,4,16,2025-01-04 16:00:00,306.25,241.54,18.99,3.28,62.66,28.17,119.31
2025,1,4,17,2025-01-04 17:00:00,91.06,74.61,18.87,1.57,63.91,24.09,39.09
2025,1,4,18,2025-01-04 18:00:00,0.0,0.0,16.18,3.01,65.09,14.74,0.0
2025,1,4,19,2025-01-04 19:00:00,0.0,0.0,17.73,3.64,62.22,22.16,0.0
2025,1,4,20,2025-01-04 20:00:00,0.0,0.0,15.31,2.24,65.84,40.15,0.0
